Mark ID,Mark Name,Timestamp,CPU Usage %,
0,"Start of Program",0.00,0,
1,"VSPXAutoMark",500.00,0,
2,"VSPXAutoMark","1,000.00",0,
3,"VSPXAutoMark","1,500.00",0,
4,"VSPXAutoMark","2,000.00",7,
5,"VSPXAutoMark","2,500.00",53,
6,"VSPXAutoMark","3,000.00",65,
7,"VSPXAutoMark","3,500.00",67,
8,"VSPXAutoMark","4,000.00",67,
9,"VSPXAutoMark","4,500.00",63,
10,"VSPXAutoMark","5,000.00",67,
11,"VSPXAutoMark","5,500.00",69,
12,"VSPXAutoMark","6,000.00",68,
13,"VSPXAutoMark","6,500.00",70,
14,"VSPXAutoMark","7,000.00",70,
15,"VSPXAutoMark","7,500.00",67,
16,"VSPXAutoMark","8,000.00",59,
17,"VSPXAutoMark","8,500.00",52,
18,"VSPXAutoMark","9,000.00",58,
19,"VSPXAutoMark","9,500.00",62,
20,"VSPXAutoMark","10,000.00",70,
21,"VSPXAutoMark","10,500.00",69,
22,"VSPXAutoMark","11,000.00",69,
23,"VSPXAutoMark","11,500.00",68,
24,"VSPXAutoMark","12,000.00",64,
25,"VSPXAutoMark","12,500.00",67,
26,"VSPXAutoMark","13,000.00",68,
27,"VSPXAutoMark","13,500.00",68,
28,"VSPXAutoMark","14,000.00",65,
29,"VSPXAutoMark","14,500.00",46,
30,"VSPXAutoMark","15,000.00",49,
31,"VSPXAutoMark","15,500.00",66,
32,"VSPXAutoMark","16,000.00",67,
33,"VSPXAutoMark","16,500.00",68,
34,"VSPXAutoMark","17,000.00",65,
35,"VSPXAutoMark","17,500.00",68,
36,"VSPXAutoMark","18,000.00",59,
37,"VSPXAutoMark","18,500.00",52,
38,"VSPXAutoMark","19,000.00",57,
39,"VSPXAutoMark","19,500.00",62,
40,"VSPXAutoMark","20,000.00",70,
41,"VSPXAutoMark","20,500.00",67,
42,"VSPXAutoMark","21,000.00",68,
43,"VSPXAutoMark","21,500.00",69,
44,"VSPXAutoMark","22,000.00",67,
45,"VSPXAutoMark","22,500.00",69,
46,"VSPXAutoMark","23,000.00",65,
47,"VSPXAutoMark","23,500.00",51,
48,"VSPXAutoMark","24,000.00",51,
49,"VSPXAutoMark","24,500.00",61,
50,"VSPXAutoMark","25,000.00",66,
51,"VSPXAutoMark","25,500.00",69,
52,"VSPXAutoMark","26,000.00",64,
53,"VSPXAutoMark","26,500.00",65,
54,"VSPXAutoMark","27,000.00",57,
55,"VSPXAutoMark","27,500.00",53,
56,"VSPXAutoMark","28,000.00",57,
57,"VSPXAutoMark","28,500.00",65,
58,"VSPXAutoMark","29,000.00",60,
59,"VSPXAutoMark","29,500.00",43,
60,"VSPXAutoMark","30,000.00",49,
61,"VSPXAutoMark","30,500.00",55,
62,"VSPXAutoMark","31,000.00",65,
63,"VSPXAutoMark","31,500.00",66,
64,"VSPXAutoMark","32,000.00",62,
65,"VSPXAutoMark","32,500.00",64,
66,"VSPXAutoMark","33,000.00",58,
67,"VSPXAutoMark","33,500.00",51,
68,"VSPXAutoMark","34,000.00",57,
69,"VSPXAutoMark","34,500.00",60,
70,"VSPXAutoMark","35,000.00",66,
71,"VSPXAutoMark","35,500.00",61,
72,"VSPXAutoMark","36,000.00",67,
73,"VSPXAutoMark","36,500.00",68,
74,"VSPXAutoMark","37,000.00",50,
75,"VSPXAutoMark","37,500.00",51,
76,"VSPXAutoMark","38,000.00",58,
77,"VSPXAutoMark","38,500.00",66,
78,"VSPXAutoMark","39,000.00",59,
79,"VSPXAutoMark","39,500.00",60,
80,"VSPXAutoMark","40,000.00",57,
81,"VSPXAutoMark","40,500.00",46,
82,"VSPXAutoMark","41,000.00",45,
83,"VSPXAutoMark","41,500.00",50,
84,"VSPXAutoMark","42,000.00",47,
85,"VSPXAutoMark","42,500.00",49,
86,"VSPXAutoMark","43,000.00",47,
87,"VSPXAutoMark","43,500.00",48,
88,"VSPXAutoMark","44,000.00",49,
89,"VSPXAutoMark","44,500.00",43,
90,"VSPXAutoMark","45,000.00",47,
91,"VSPXAutoMark","45,500.00",47,
92,"VSPXAutoMark","46,000.00",47,
93,"VSPXAutoMark","46,500.00",50,
94,"VSPXAutoMark","47,000.00",49,
95,"VSPXAutoMark","47,500.00",48,
96,"VSPXAutoMark","48,000.00",50,
97,"VSPXAutoMark","48,500.00",48,
98,"VSPXAutoMark","49,000.00",45,
99,"VSPXAutoMark","49,500.00",45,
100,"VSPXAutoMark","50,000.00",48,
101,"VSPXAutoMark","50,500.00",48,
102,"VSPXAutoMark","51,000.00",48,
103,"VSPXAutoMark","51,500.00",49,
104,"VSPXAutoMark","52,000.00",47,
105,"VSPXAutoMark","52,500.00",48,
106,"VSPXAutoMark","53,000.00",52,
107,"VSPXAutoMark","53,500.00",49,
108,"VSPXAutoMark","54,000.00",46,
109,"VSPXAutoMark","54,500.00",40,
110,"VSPXAutoMark","55,000.00",49,
111,"VSPXAutoMark","55,500.00",46,
112,"VSPXAutoMark","56,000.00",48,
113,"VSPXAutoMark","56,500.00",48,
114,"VSPXAutoMark","57,000.00",55,
115,"VSPXAutoMark","57,500.00",60,
116,"VSPXAutoMark","58,000.00",68,
117,"VSPXAutoMark","58,500.00",63,
118,"VSPXAutoMark","59,000.00",66,
119,"VSPXAutoMark","59,500.00",59,
120,"VSPXAutoMark","60,000.00",63,
121,"VSPXAutoMark","60,500.00",66,
122,"VSPXAutoMark","61,000.00",67,
123,"VSPXAutoMark","61,500.00",67,
124,"VSPXAutoMark","62,000.00",66,
125,"VSPXAutoMark","62,500.00",68,
126,"VSPXAutoMark","63,000.00",67,
127,"VSPXAutoMark","63,500.00",65,
128,"VSPXAutoMark","64,000.00",62,
129,"VSPXAutoMark","64,500.00",63,
130,"VSPXAutoMark","65,000.00",61,
131,"VSPXAutoMark","65,500.00",68,
132,"VSPXAutoMark","66,000.00",65,
133,"VSPXAutoMark","66,500.00",69,
134,"VSPXAutoMark","67,000.00",67,
135,"VSPXAutoMark","67,500.00",67,
136,"VSPXAutoMark","68,000.00",66,
137,"VSPXAutoMark","68,500.00",66,
